Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,17.193,17.193,screen dim,8.543253279000002
0,17.193,17.193,wifi radio,7.1507406300000005
0,1.76,1.76,audio,0.18492672
0,1.76,1.76,video,0.5316643200000001
0.0,6.797848000001977,6.797848000001977,core 0 cpu_idle start,0.1636853819920476
0.0,6.798969000010402,6.798969000010402,core 1 cpu_idle start,0.16371237455125046
0.0,6.806225000007544,6.806225000007544,core 2 cpu_idle start,0.16388709177518165
0.0,6.853367000003345,6.853367000003345,core 3 cpu_idle start,0.16502222399308056
0.0,7.043984000003547,7.043984000003547,core 4 cpu_idle start,0.1696120907360854
0.0,6.798391000003903,6.798391000003903,core 5 cpu_idle start,0.16369845688909399
0.0,7.009709000005387,7.009709000005387,core 6 cpu_idle start,0.1687867830111297
0.0,7.043772000004537,7.043772000004537,core 7 cpu_idle start,0.16960698598810925
