Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,25.192,25.192,screen dim,12.517980376
0,25.192,25.192,wifi radio,10.47760472
0.0,6.961808000007295,6.961808000007295,core 0 cpu_idle start,0.16763337483217566
0.0,6.9616490000044,6.9616490000044,core 1 cpu_idle start,0.16762954627110593
0.0,6.964277000006405,6.964277000006405,core 2 cpu_idle start,0.1676928258831542
0.0,6.96710599999642,6.96710599999642,core 3 cpu_idle start,0.16776094537391378
0.0,7.171713000003365,7.171713000003365,core 4 cpu_idle start,0.172687677327081
0.0,7.13272799999686,7.13272799999686,core 5 cpu_idle start,0.17174895751192437
0.0,7.14161000000604,7.14161000000604,core 6 cpu_idle start,0.17196282719014544
0.0,7.391640999994706,7.391640999994706,core 7 cpu_idle start,0.17798332363887254
