Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,29.31,29.31,screen dim,14.56422693
0,29.31,29.31,wifi radio,12.1903221
13.396,18.691,5.294999999999998,video,1.5995241899999995
0.0,6.656014000007417,6.656014000007417,core 0 cpu_idle start,0.1602701611061786
0.0,6.656421000006958,6.656421000006958,core 1 cpu_idle start,0.16027996125916755
0.0,6.681163999994169,6.681163999994169,core 2 cpu_idle start,0.1608757479558596
0.0,6.6559980000020005,6.6559980000020005,core 3 cpu_idle start,0.16026977584204816
0.0,6.860379999998258,6.860379999998258,core 4 cpu_idle start,0.16519109001995808
0.0,6.657605999993393,6.657605999993393,core 5 cpu_idle start,0.1603084948738409
0.0,6.711783000006108,6.711783000006108,core 6 cpu_idle start,0.16161302285714707
0.0,6.858687999992981,6.858687999992981,core 7 cpu_idle start,0.16515034835183098
