Trail;Type;App
19.543392;Web;facebook_messenger
18.755352;Web;facebook_messenger
17.967312;Web;facebook_messenger
22.380336;Web;facebook_messenger
20.48904;Web;facebook_messenger
25.374888;Web;facebook_messenger
23.010768;Web;facebook_messenger
23.483592;Web;facebook_messenger
28.36944;Web;facebook_messenger
22.85316;Web;facebook_messenger
22.85316;Web;facebook_messenger
23.956416;Web;facebook_messenger
22.695552;Web;facebook_messenger
22.06512;Web;facebook_messenger
24.114024;Web;facebook_messenger
22.695552;Web;facebook_messenger
25.21728;Web;facebook_messenger
21.434688;Web;facebook_messenger
25.059672;Web;facebook_messenger
22.380336;Web;facebook_messenger
35.146584;Web;google_maps
34.200936;Web;google_maps
26.320536;Web;google_maps
35.146584;Web;google_maps
37.195488;Web;google_maps
47.2824;Web;google_maps
35.619408;Web;google_maps
38.929176;Web;google_maps
36.565056;Web;google_maps
41.293296;Web;google_maps
37.668312;Web;google_maps
37.510704;Web;google_maps
38.141136;Web;google_maps
35.934624;Web;google_maps
36.092232;Web;google_maps
37.353096;Web;google_maps
37.510704;Web;google_maps
35.146584;Web;google_maps
37.03788;Web;google_maps
26.320536;Web;google_maps
35.304192;Web;google_keep
35.777016;Web;google_keep
49.488912;Web;google_keep
49.488912;Web;google_keep
46.967184;Web;google_keep
46.021536;Web;google_keep
47.755224;Web;google_keep
53.901936;Web;google_keep
45.075888;Web;google_keep
45.391104;Web;google_keep
52.79868;Web;google_keep
48.385656;Web;google_keep
48.228048;Web;google_keep
52.483464;Web;google_keep
47.2824;Web;google_keep
49.016088;Web;google_keep
36.092232;Web;google_keep
37.983528;Web;google_keep
36.565056;Web;google_keep
33.88572;Web;google_keep
43.3422;Web;facebook
39.244392;Web;facebook
40.19004;Web;facebook
40.662864;Web;facebook
49.331304;Web;facebook
42.869376;Web;facebook
41.76612;Web;facebook
42.711768;Web;facebook
42.711768;Web;facebook
41.450904;Web;facebook
46.021536;Web;facebook
40.347648;Web;facebook
43.184592;Web;facebook
37.353096;Web;facebook
38.298744;Web;facebook
39.874824;Web;facebook
37.983528;Web;facebook
48.07044;Web;facebook
37.82592;Web;facebook
29.15748;Web;facebook
35.934624;Web;gmail
46.809576;Web;gmail
53.901936;Web;gmail
43.184592;Web;gmail
48.543264;Web;gmail
44.287848;Web;gmail
43.657416;Web;gmail
42.711768;Web;gmail
48.07044;Web;gmail
50.907384;Web;gmail
47.912832;Web;gmail
83.059416;Web;gmail
48.385656;Web;gmail
41.923728;Web;gmail
43.657416;Web;gmail
45.863928;Web;gmail
41.76612;Web;gmail
43.499808;Web;gmail
53.901936;Web;gmail
35.777016;Web;gmail
17.494488;Web;netflix
24.586848;Web;netflix
61.782336;Web;netflix
55.95084;Web;netflix
26.635752;Web;netflix
57.684528;Web;netflix
30.575952;Web;netflix
40.505256;Web;netflix
25.374888;Web;netflix
24.744456;Web;netflix
27.5814;Web;netflix
23.6412;Web;netflix
24.271632;Web;netflix
83.847456;Web;netflix
30.103128;Web;netflix
25.532496;Web;netflix
27.423792;Web;netflix
21.592296;Web;netflix
18.282528;Web;netflix
21.434688;Web;netflix
29.15748;Web;spotify
23.325984;Web;spotify
21.907512;Web;spotify
23.6412;Web;spotify
21.907512;Web;spotify
31.048776;Web;spotify
29.472696;Web;spotify
30.260736;Web;spotify
32.940072;Web;spotify
31.5216;Web;spotify
31.994424;Web;spotify
28.527048;Web;spotify
30.103128;Web;spotify
29.315088;Web;spotify
28.999872;Web;spotify
28.999872;Web;spotify
54.059544;Web;spotify
28.36944;Web;spotify
30.891168;Web;spotify
23.6412;Web;spotify
27.322236;Web;tiktok
25.21728;Web;tiktok
26.79336;Web;tiktok
25.690104;Web;tiktok
29.630304;Web;tiktok
27.5814;Web;tiktok
33.09768;Web;tiktok
29.15748;Web;tiktok
32.30964;Web;tiktok
40.97808;Web;tiktok
29.787912;Web;tiktok
30.891168;Web;tiktok
36.565056;Web;tiktok
30.103128;Web;tiktok
33.09768;Web;tiktok
33.728112;Web;tiktok
31.363992;Web;tiktok
28.054224;Web;tiktok
25.690104;Web;tiktok
22.695552;Web;tiktok
25.427052;Web;twitter
21.592296;Web;twitter
24.42924;Web;twitter
26.950968;Web;twitter
32.30964;Web;twitter
28.684656;Web;twitter
66.352968;Web;twitter
62.885592;Web;twitter
27.423792;Web;twitter
27.423792;Web;twitter
31.679208;Web;twitter
26.320536;Web;twitter
30.260736;Web;twitter
28.684656;Web;twitter
27.108576;Web;twitter
30.418344;Web;twitter
26.162928;Web;twitter
27.896616;Web;twitter
23.168376;Web;twitter
22.695552;Web;twitter
25.847712;Web;youtube
28.211832;Web;youtube
27.739008;Web;youtube
29.472696;Web;youtube
44.445456;Web;youtube
41.450904;Web;youtube
33.09768;Web;youtube
33.88572;Web;youtube
38.141136;Web;youtube
36.722664;Web;youtube
39.420123;Web;youtube
36.407448;Web;youtube
39.874824;Web;youtube
68.717088;Web;youtube
38.61396;Web;youtube
33.255288;Web;youtube
35.146584;Web;youtube
33.88572;Web;youtube
62.727984;Web;youtube
25.847712;Web;youtube
55.9872;Native;facebook
49.7664;Native;facebook
57.09312;Native;facebook
72.43776;Native;facebook
61.10208;Native;facebook
66.49344;Native;facebook
51.01056;Native;facebook
58.61376;Native;facebook
61.93152;Native;facebook
96.90624;Native;facebook
39.30192;Native;facebook
40.30992;Native;facebook
37.286676;Native;facebook
35.364384;Native;facebook
45.799776;Native;facebook
38.118168;Native;facebook
37.68336;Native;facebook
45.364968;Native;facebook
43.4808;Native;facebook
37.68336;Native;facebook
26.81856;Native;facebook_messenger
35.11296;Native;facebook_messenger
23.5008;Native;facebook_messenger
40.22784;Native;facebook_messenger
39.3984;Native;facebook_messenger
19.3536;Native;facebook_messenger
16.66764;Native;facebook_messenger
23.18976;Native;facebook_messenger
17.682192;Native;facebook_messenger
17.39232;Native;facebook_messenger
15.073344;Native;facebook_messenger
