,facebook,facebook_messenger,google_maps,gmail,google_keep,youtube,netflix,spotify,tiktok,twitter
0,55.9872,26.81856,51.97824,56.40192,65.664,28.89216,15.8976,47.13984,65.80224,31.93344
1,49.7664,35.11296,41.61024,37.87776,63.03744,40.0896,20.736,47.83104,47.83104,22.94784
2,57.09312,23.5008,39.81312,36.77184,74.78784,34.42176,15.34464,46.44864,56.81664,21.28896
3,72.43776,40.22784,37.617552,42.30144,80.73216,39.12192,20.32128,66.3552,47.55456,22.39488
4,61.10208,39.3984,37.696752,51.42528,61.37856,61.10208,14.5152,59.4432,40.986288,21.4272
5,66.49344,19.3536,35.530272,40.845924,60.96384,29.616804,14.23872,68.98176,42.951384,29.0304
6,51.01056,16.66764,34.808112,30.186288,69.94944,29.47644,17.28,27.50976,43.185168,44.78976
7,58.61376,23.18976,42.176376,29.897424,63.45216,36.073548,17.28,31.160808,31.88592,22.1184
8,61.93152,17.682192,34.05996,29.897424,48.79872,29.757168,24.8832,24.142608,39.712464,25.26552
9,96.90624,17.39232,35.219448,29.856816,79.446024,26.431056,11.987856,23.83128,36.813744,20.773872
10,39.30192,15.073344,33.770088,28.552392,47.229264,23.83128,12.2905728,24.349248,33.625152,24.697872
11,40.30992,25.3638,33.770088,29.422008,52.690824,29.752992,11.7977904,23.334696,41.741568,17.765136
12,37.286676,17.972064,37.103616,28.9872,45.944712,24.041988,11.9717136,23.18976,39.567528,24.204312
13,35.364384,16.812576,34.929576,29.132136,45.65484,23.334696,16.957512,25.073928,41.451696,18.261936
14,45.799776,20.725848,39.8574,28.842264,46.814328,24.494184,12.4355088,23.334696,37.828296,18.261936
15,38.118168,17.102448,34.494768,30.43656,47.1042,24.204312,12.7398744,24.059376,40.871952,18.696744
16,37.68336,16.812576,38.118168,29.132136,45.799776,24.928992,13.261644,24.204312,36.234,18.551808
17,45.364968,17.102448,36.668808,34.349832,46.959264,24.494184,12.3630408,23.769504,39.422592,19.276488
18,43.4808,17.682192,34.349832,28.9872,45.944712,25.3638,12.971772,28.9872,41.30676,19.56636
19,37.68336,18.406872,34.349832,33.33528,46.234584,23.624568,18.696744,30.146688,42.321312,18.696744
